Rk,Player,Tm,FantPos,Age,G,GS,Cmp,PassAtt,PassYds,PassTDs,Int,RushAtt,RushYds,RushY/A,RushTDs,Tgt,Rec,RecYds,Y/R,RecTDs,Fmb,FL,TotTDs,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
35,Jared Goff,DET,QB,29,7,7,174,256,1902,11,4,16,15,0.94,2,0,0,0,,0,2,0,2,,,126.0,125.6,132.6,129.6,18.0,7,35.0
36,Mike Evans,TAM,WR,30,6,6,0,0,0,0,0,0,0,,0,49,30,468,15.6,4,0,0,4,,,71.0,100.8,103.8,85.8,18.0,14,36.0
37,Davante Adams,LVR,WR,31,7,7,0,0,0,0,0,0,0,,0,71,46,528,11.48,3,0,0,3,,,71.0,116.8,119.8,93.8,18.0,13,37.0
38,Justin Herbert,LAC,QB,25,6,6,142,212,1592,10,4,28,80,2.86,3,1,1,10,10.0,0,1,0,3,,1.0,125.0,125.7,132.7,129.2,17.0,8,38.0
39,Bijan Robinson,ATL,RB,21,7,6,0,0,0,0,0,81,404,4.99,0,32,26,189,7.27,2,1,1,2,,,69.0,95.3,102.3,82.3,16.0,14,39.0
40,Jakobi Meyers,LVR,WR,27,6,6,0,0,0,0,0,1,0,0.0,0,56,37,385,10.41,5,0,0,5,,,69.0,105.5,108.5,87.0,16.0,15,40.0
41,Jerome Ford,CLE,RB,24,6,3,0,0,0,0,0,78,344,4.41,2,19,14,104,7.43,2,1,1,4,1.0,,69.0,82.8,89.8,75.8,15.0,15,41.0
42,Josh Jacobs,LVR,RB,25,7,7,0,0,0,0,0,118,347,2.94,2,39,26,215,8.27,0,0,0,2,,,68.0,94.2,100.2,81.2,15.0,16,42.0
43,T.J. Hockenson,MIN,TE,26,7,4,0,0,0,0,0,0,0,,0,59,47,390,8.3,2,1,1,2,,,49.0,96.0,100.0,72.5,14.0,4,43.0
44,Tony Pollard,DAL,RB,26,6,6,0,0,0,0,0,96,370,3.85,2,29,25,176,7.04,0,2,1,2,1.0,,67.0,91.6,98.6,79.1,13.0,17,44.0
45,Brock Purdy,SFO,QB,24,7,7,131,193,1668,11,3,20,50,2.5,2,0,0,0,,0,5,1,2,,,120.0,119.7,126.7,122.7,13.0,9,45.0
46,Breece Hall,NYJ,RB,22,6,6,0,0,0,0,0,66,426,6.45,2,18,13,113,8.69,0,2,0,2,,,66.0,78.9,84.9,72.4,13.0,18,46.0
47,George Kittle,SFO,TE,30,7,7,0,0,0,0,0,1,2,2.0,0,32,23,294,12.78,3,0,0,3,,,48.0,70.6,73.6,59.1,12.0,5,47.0
48,Christian Kirk,JAX,WR,27,7,7,1,1,-1,0,0,1,6,6.0,0,55,39,474,12.15,3,1,1,3,,,64.0,103.0,107.0,83.5,11.0,16,48.0
49,George Pickens,PIT,WR,22,6,6,0,0,0,0,0,1,16,16.0,0,48,27,500,18.52,2,1,0,2,,,64.0,90.6,93.6,77.1,11.0,17,49.0
50,Brandon Aiyuk,SFO,WR,25,6,6,0,0,0,0,0,0,0,,0,43,30,511,17.03,2,0,0,2,,,63.0,93.1,96.1,78.1,11.0,18,50.0
51,Michael Pittman Jr.,IND,WR,26,7,7,0,0,0,0,0,0,0,,0,65,42,489,11.64,2,1,0,2,1.0,,63.0,104.9,107.9,83.9,10.0,19,51.0
52,Russell Wilson,DEN,QB,35,7,7,142,214,1499,13,4,23,171,7.43,0,0,0,0,,0,3,2,0,,,117.0,117.1,129.1,121.1,10.0,10,52.0
53,Dallas Goedert,PHI,TE,28,7,7,0,0,0,0,0,0,0,,0,41,31,324,10.45,2,0,0,2,,,44.0,75.4,78.4,59.9,9.0,6,53.0
54,Darren Waller,NYG,TE,31,7,7,0,0,0,0,0,0,0,,0,49,35,380,10.86,1,0,0,1,,,44.0,79.0,82.0,61.5,9.0,7,54.0
55,Courtland Sutton,DEN,WR,28,7,7,0,0,0,0,0,0,0,,0,43,31,351,11.32,5,2,2,5,,,61.0,92.1,97.1,76.6,9.0,20,55.0
56,Cole Kmet,CHI,TE,24,7,7,0,0,0,0,0,2,1,0.5,0,32,25,240,9.6,3,1,0,3,,,42.0,67.1,70.1,54.6,7.0,8,56.0
57,Marquise Brown,ARI,WR,26,7,7,0,0,0,0,0,1,29,29.0,0,60,32,383,11.97,3,0,0,3,,,59.0,91.2,94.2,75.2,7.0,21,57.0
58,Gus Edwards,BAL,RB,28,7,3,0,0,0,0,0,86,346,4.02,2,5,4,93,23.25,0,0,0,2,1.0,,58.0,61.9,64.9,59.9,5.0,19,58.0
59,Dalton Schultz,HOU,TE,27,6,1,0,0,0,0,0,0,0,,0,34,21,215,10.24,3,0,0,3,,,40.0,60.5,63.5,50.0,5.0,9,59.0
60,Gabriel Davis,BUF,WR,24,7,7,0,0,0,0,0,1,-2,-2.0,0,35,22,347,15.77,4,1,1,4,,,57.0,78.5,82.5,67.5,4.0,22,60.0
